Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Neversink Reservoir"
Cubic Meter
"Sources and Destinations","Decrease in Storage for Neversink Reservoir","Increase in Storage for Neversink Reservoir","Inflow from Upstream","Net Evaporation","Outflow to Downstream"
6/1/1999,324600, ,134056,0,-458656
6/2/1999,200110, ,243214,-68228.2,-375096
6/3/1999, ,-141284,216711,-61281.7,-14145.5
6/4/1999, ,-99276.2,188793,-65229,-24287.4
6/5/1999, ,-111914,189843,-56568.8,-21360.2
6/6/1999,215880, ,183147,-54775,-344252
6/7/1999,444857, ,170924,-58156.2,-557626
6/8/1999,479735, ,137645,-70882.6,-546497
6/9/1999,434061, ,120643,-75702,-479002
6/10/1999,201770, ,109884,-67968.5,-243686
6/11/1999, ,-40037.8,102937,-62899.4,0
6/12/1999, ,-42124,98308.4,-56184.4,0
6/13/1999, ,-70400.3,129366,-58965.2,0
6/14/1999,218827, ,161447,-32151.2,-348123
6/15/1999,242543, ,147068,-41488.2,-348123
6/16/1999, ,-54014.8,125803,-36908.8,-34879.5
6/17/1999, ,-119297,158952,-39655.2,0
6/18/1999,206041, ,147051,-27468,-325624
6/19/1999, ,-90982.1,128065,-37083,0
6/20/1999,275219, ,121973,-52939.6,-344252
6/21/1999,500877, ,110917,-57797.4,-553997
6/22/1999,303338, ,99345.7,-58431.4,-344252
6/23/1999, ,-30307.5,90277.1,-59969.6,0
6/24/1999, ,-18670.6,84250.9,-65580.3,0
6/25/1999, ,-21566.3,87751.9,-66185.6,0
6/26/1999, ,-25742.3,82069.2,-56326.9,0
6/27/1999, ,-17810.7,79145.5,-61334.8,0
6/28/1999,115270, ,362430,-65952.6,-411748
6/29/1999, ,-475249,825188,42938.8,-392878
6/30/1999,7335.86, ,523827,93716.5,-624879
7/1/1999, ,-124627,480236,-7486.45,-348123
7/2/1999, ,-549358,587928,-38569.8,0
7/3/1999, ,-658377,710319,-14639.5,-37303
7/4/1999, ,-2644280,2659714,-1777.04,-13659.9
7/5/1999, ,-2776260,2575856,200408,0
7/6/1999, ,-1112980,1841373,48743.3,-777133
7/7/1999,221311, ,1138864,-7893.76,-1352280
7/8/1999,221311, ,618522,-36227.9,-803606
7/9/1999,221311, ,729637,-64578.2,-886370
7/10/1999,221311, ,640739,6059.49,-868110
7/11/1999,221311, ,409283,-29881.8,-600713
7/12/1999,221311, ,258319,-59100.3,-420530
7/13/1999,221311, ,184061,-54160.8,-351211
7/14/1999,221311, ,144997,-57790.7,-308517
7/15/1999,221311, ,123652,-58499.7,-286464
7/16/1999,221311, ,111250,-61296.8,-271264
7/17/1999,221311, ,101893,-69183.6,-254020
7/18/1999,221311, ,96494.8,-73488.9,-244317
7/19/1999,221311, ,105631,-74972.3,-251970
7/20/1999,221311, ,98172.5,-47540.7,-271943
7/21/1999,221311, ,88710.1,-51849.5,-258172
7/22/1999,221311, ,85984.3,-61747.4,-245548
7/23/1999,221311, ,83645.9,-63938.9,-241018
7/24/1999,730443, ,81668,-67238.9,-744872
7/25/1999,949015, ,81173.2,-72184.7,-958003
7/26/1999,25587.8, ,78194.7,-66284.9,-37497.6
7/27/1999, ,-7827.3,76373.1,-68545.8,0
7/28/1999, ,-6349.1,74715.8,-68366.7,0
7/29/1999,419252, ,97473.2,-67721.6,-449004
7/30/1999, ,-62566.1,98920.9,-36354.8,0
7/31/1999, ,-25195.6,76217.3,-51021.7,0
8/1/1999, ,-9395.5,74850.1,-65454.6,0
8/2/1999,469203, ,71798.9,-69499.9,-471502
8/3/1999,466734, ,70165.7,-65397.4,-471502
8/4/1999, ,-13481.4,71827.2,-58345.8,0
8/5/1999, ,-16578.9,70715.9,-54137,0
8/6/1999,179521, ,66993.4,-56132.3,-190382
8/7/1999,221311, ,72666.4,-58654.4,-235323
8/8/1999,221311, ,68824.9,-41215.1,-248921
8/9/1999,221311, ,62539.2,-50755.6,-233095
8/10/1999,221311, ,64779.2,-53791.1,-232300
8/11/1999,221311, ,62417.2,-39782.2,-243946
8/12/1999,540774, ,59474.5,-46252.1,-553997
8/13/1999,331615, ,154422,-59290.3,-426747
8/14/1999, ,-148548,502327,57969.3,-411748
8/15/1999,161405, ,625872,92690,-879967
8/16/1999,221311, ,416722,55857.5,-693891
8/17/1999,221311, ,320013,-8552.48,-532772
8/18/1999,221311, ,289352,-60399,-450265
8/19/1999,221311, ,247337,-63183.2,-405465
8/20/1999,440050, ,303397,-54942.9,-688504
8/21/1999,2572.63, ,771404,-19963.4,-754013
8/22/1999,221311, ,1048765,47225.7,-1317300
8/23/1999,221311, ,655163,110966,-987440
8/24/1999,221311, ,374613,8400.42,-604325
8/25/1999,435640, ,364589,-55357.2,-744872
8/26/1999,6983.07, ,790293,-33260,-764016
8/27/1999,221311, ,883052,35028.5,-1139390
8/28/1999,510553, ,599643,1426.23,-1111620
8/29/1999,772725, ,385313,-50286,-1107750
8/30/1999, ,-202795,258571,-55776.1,0
8/31/1999, ,-144195,191660,-47465,0
9/1/1999,170270, ,152056,-43646.3,-278680
9/2/1999,221311, ,123688,-47294.7,-297704
9/3/1999,221311, ,98450.7,-51396.6,-268366
9/4/1999,221311, ,82533.7,-54162,-249683
9/5/1999,221311, ,745205,-54834.9,-911682
9/6/1999,221311, ,999445,193588,-1414340
9/7/1999,221311, ,1290757,71245.3,-1583310
9/8/1999,221311, ,1166194,28315.7,-1415820
9/9/1999,221311, ,1231453,-9951.88,-1442810
9/10/1999,290100, ,1022032,-4637.19,-1307490
9/11/1999,616749, ,704682,-26433.4,-1295000
9/12/1999,770501, ,507216,-42715.7,-1235000
9/13/1999, ,-284874,327209,-42334.7,0
9/14/1999, ,-271971,315418,-43447.2,0
9/15/1999,207364, ,764797,-14363.6,-957797
9/16/1999,221311, ,11069220,76262.3,-11366800
9/17/1999,221311, ,9958380,795144,-10974800
9/18/1999,221311, ,3293034,356240,-3870590
9/19/1999,221311, ,1785789,-40002.6,-1967100
9/20/1999,221311, ,1852109,-38767,-2034650
9/21/1999,221311, ,1942255,65163,-2228730
9/22/1999,221311, ,1566189,49621.1,-1837120
9/23/1999,221311, ,1015090,15469.4,-1251870
9/24/1999,790212, ,549800,-13313.8,-1326700
9/25/1999,978387, ,352050,-34767.2,-1295670
9/26/1999,1060058, ,273276,-37663.8,-1295670
9/27/1999,1093373, ,234480,-32182.9,-1295670
9/28/1999,1104974, ,224787,-34090.5,-1295670
9/29/1999,914448, ,408984,-27762.2,-1295670
9/30/1999,704127, ,566063,25480,-1295670
10/1/1999,823870, ,419820,51979.9,-1295670
10/2/1999,940725, ,354974,-28.1312,-1295670
10/3/1999,451346, ,875589,-31103.8,-1295830
10/4/1999, ,-1260690,1201793,58897,0
10/5/1999, ,-1043940,967119,76824.4,0
10/6/1999, ,-775618,771187,4431.41,0
10/7/1999, ,-579476,602318,-22841.6,0
10/8/1999, ,-728115,751007,-22892.2,0
10/9/1999, ,-875011,825135,49875.9,0
10/10/1999, ,-1340540,1305272,35263.6,0
10/11/1999, ,-1218210,1114054,104155,0
10/12/1999, ,-496705,696411,32732.2,-232438
10/13/1999, ,-111570,859229,-26555.7,-721103
10/14/1999, ,-111570,789400,29867.8,-707698
10/15/1999, ,-111570,605641,3593.96,-497665
10/16/1999, ,-111570,491651,-18505.6,-361575
10/17/1999, ,-111570,420930,-17795,-291565
10/18/1999,649746, ,338284,-22527.2,-965503
10/19/1999,486169, ,548023,-27562.9,-1006630
10/20/1999,286018, ,653355,67256.2,-1006630
10/21/1999,482096, ,485325,39207.8,-1006630
10/22/1999, ,-886593,1067640,-12670.5,-168376
10/23/1999, ,-1179250,1076095,103158,0
10/24/1999, ,-619175,780538,41243.3,-202607
10/25/1999, ,-111570,664311,-19096.9,-533644
10/26/1999, ,-111570,559125,-20152.6,-427402
10/27/1999, ,-111570,450587,-21011.4,-318005
10/28/1999, ,-111570,365132,-21986.4,-231576
10/29/1999, ,-111570,308704,-17220.9,-179913
10/30/1999, ,-111570,253278,-18946.8,-122761
10/31/1999, ,-111570,212029,-23845.4,-76613.9
11/1/1999, ,-111570,198021,-26928.3,-59522.6
11/2/1999, ,-111570,1648038,-24912,-1511560
11/3/1999, ,-111570,2167040,232300,-2287770
11/4/1999, ,-111570,1252168,108443,-1249040
11/5/1999, ,-111570,1111414,-15138.3,-984705
11/6/1999, ,-111570,908373,-13010.8,-783792
11/7/1999, ,-111570,724329,-18102.1,-594657
11/8/1999, ,-111570,589268,-19060.6,-458637
11/9/1999, ,-111570,489471,-14044.8,-363856
11/10/1999,208188, ,368048,-14739.9,-561496
11/11/1999,300738, ,278258,-17499.8,-561496
11/12/1999,494411, ,227714,-18621.3,-703503
11/13/1999,375466, ,199243,-13212.6,-561496
11/14/1999,380957, ,186918,-13878,-553997
11/15/1999,599094, ,176591,-12185.1,-763500
11/16/1999,610211, ,162483,-13065.1,-759629
11/17/1999,478158, ,154620,-11526.7,-621251
11/18/1999,414318, ,148348,-8669.81,-553997
11/19/1999,423432, ,143027,-8834.18,-557626
11/20/1999,408143, ,156848,-10993.2,-553997
11/21/1999,403994, ,153430,201.957,-557626
11/22/1999,426871, ,137748,-6993.81,-557626
11/23/1999,773318, ,158754,-18823.5,-913248
11/24/1999,688488, ,221337,-4076.78,-905748
11/25/1999,140876, ,409521,7228.15,-557626
11/26/1999, ,-1909410,2442024,17514.9,-550126
11/27/1999, ,-1580360,1950298,184061,-553997
11/28/1999, ,-966872,893428,73443.7,0
11/29/1999, ,-428052,855885,-16085,-411748
11/30/1999, ,-307861,730829,-11220.3,-411748
12/1/1999, ,-603077,612320,-9242.84,0
12/2/1999, ,-496762,503971,-7208.68,0
12/3/1999, ,-415635,422802,-7166.75,0
12/4/1999, ,-320489,327824,-7334.9,0
12/5/1999, ,-378380,388172,-9792.38,0
12/6/1999, ,-514541,490012,24528.8,0
12/7/1999, ,-424345,383945,40400.3,0
12/8/1999, ,-311010,308263,2746.68,0
12/9/1999, ,-268302,279889,-11586.8,0
12/10/1999, ,-482088,495457,-13369,0
12/11/1999, ,-399095,383150,15944.9,0
12/12/1999, ,-296550,296081,469.08,0
12/13/1999, ,-322644,332275,-9630.7,0
12/14/1999, ,-509442,507800,1642.07,0
12/15/1999, ,-208271,446568,37883.6,-276181
12/16/1999, ,-111570,338157,20297.1,-246884
12/17/1999, ,-111570,291999,-1894.93,-178534
12/18/1999, ,-111570,261958,-9969.73,-140418
12/19/1999, ,-111570,237106,-9013.94,-116522
12/20/1999, ,-111570,217396,-8049.89,-97776.2
12/21/1999, ,-111570,439038,-8624.57,-318843
12/22/1999, ,-111570,253610,30140.5,-172180
12/23/1999, ,-111570,228329,-10340.4,-106418
12/24/1999, ,-111570,208226,-7676.56,-88979.4
12/25/1999, ,-111570,192757,-6091.28,-75095.3
12/26/1999, ,-111570,180229,-5190.15,-63468.5
12/27/1999, ,-111570,169378,-5962.23,-51845.3
12/28/1999, ,-111570,160091,-7848.76,-40672
12/29/1999, ,-111570,147316,-5644.85,-30100.5
12/30/1999, ,-111570,136944,-5377.34,-19996.1
12/31/1999, ,-111570,128034,-8244.1,-8219.25
1/1/2000, ,-110225,120729,-10503.8,0
1/2/2000, ,-112915,135302,-9045.01,-13341.3
1/3/2000, ,-111570,135044,-4707.65,-18766.5
1/4/2000, ,-111570,372616,-10753.8,-250292
1/5/2000, ,-111570,411467,31146.7,-331043
1/6/2000, ,-111570,164594,34195.3,-87219.5
1/7/2000, ,-111570,166467,-7927.7,-46969.2
1/8/2000, ,-111570,167047,-7790.43,-47686.4
1/9/2000, ,-111570,172654,-9022.67,-52061.5
1/10/2000, ,-111570,817380,-6934.08,-698876
1/11/2000, ,-111570,717174,83342.9,-688947
1/12/2000, ,-111570,492412,46082.6,-426924
1/13/2000, ,-111570,381527,3699.06,-273656
1/14/2000, ,-111570,318645,2597.66,-209673
1/15/2000, ,-111570,290957,-5297.53,-174089
1/16/2000, ,-111570,266161,-4143.93,-150447
1/17/2000, ,-111570,243989,-6660.78,-125758
1/18/2000, ,-111570,211745,-5115.97,-95058.6
1/19/2000, ,-111570,182610,-3074.4,-67965.4
1/20/2000, ,-111570,159855,-4256.04,-44029.2
1/21/2000, ,-111570,142925,-5657.58,-25697.2
1/22/2000, ,-111570,130318,-4917.2,-13830.8
1/23/2000, ,-111570,120606,-3539.97,-5495.78
1/24/2000, ,-108777,112720,-3943.45,0
1/25/2000, ,-100182,106050,-5867.98,0
1/26/2000, ,-92515.3,100384,-7868.21,0
1/27/2000, ,-88563.7,95683.9,-7120.17,0
1/28/2000, ,-86599.7,91755.9,-5156.16,0
1/29/2000, ,-84202.2,88302.5,-4100.33,0
1/30/2000, ,-80288,85051.1,-4763.08,0
1/31/2000, ,-74630.2,81929.2,-7299.03,0
2/1/2000, ,-71113.6,79043.4,-7929.76,0
2/2/2000, ,-68568.1,76449.7,-7881.61,0
2/3/2000, ,-66776.2,74124.4,-7348.23,0
2/4/2000, ,-66294.7,71967.4,-5672.75,0
2/5/2000, ,-63409.6,69889.7,-6480.14,0
2/6/2000, ,-60131.6,67902.9,-7771.25,0
2/7/2000, ,-58015.9,66028.4,-8012.53,0
2/8/2000, ,-56100.3,64294.9,-8194.59,0
2/9/2000, ,-55639.7,62690.5,-7050.83,0
2/10/2000, ,-136971,143831,-6859.49,0
2/11/2000, ,-407321,417120,-9798.3,0
2/12/2000, ,-134398,97651,36746.6,0
2/13/2000, ,-94965,104952,-9987.12,0
2/14/2000, ,-392542,399898,-7355.4,0
2/15/2000, ,-118111,673862,-9857.12,-545893
2/16/2000, ,-111570,273279,68592.4,-230301
2/17/2000, ,-111570,284766,-10579.7,-162616
2/18/2000, ,-111570,271582,-9858.16,-150154
2/19/2000, ,-111570,235468,-7627.38,-116271
2/20/2000, ,-111570,204949,-8922.44,-84456.7
2/21/2000, ,-111570,179791,-9816.38,-58404.6
2/22/2000, ,-111570,283659,-10088.9,-162000
2/23/2000, ,-111570,750332,41269.1,-680031
2/24/2000, ,-111570,1478070,112624,-1479120
2/25/2000, ,-111570,3675690,159043,-3723160
2/26/2000, ,-111570,4380910,292703,-4562040
2/27/2000, ,-111570,5952640,240070,-6081140
2/28/2000, ,-111570,5956210,290433,-6135070
3/1/2000, ,-111570,3599024,253220,-3740670
3/2/2000, ,-111570,2978242,47941.1,-2914610
3/3/2000, ,-111570,1444413,17897.7,-1350740
3/4/2000, ,-111570,850111,-12854.4,-725686
3/5/2000, ,-111570,581025,-10406.2,-459049
3/6/2000, ,-111570,400991,-11214.3,-278206
3/7/2000, ,-111570,295358,-15810.4,-167977
3/8/2000, ,-111570,228160,-17982,-98607.9
3/9/2000, ,-111570,343779,-25467.8,-206741
3/10/2000, ,-111570,353716,26307.1,-268453
3/11/2000, ,-111570,1251771,-507.526,-1139690
3/12/2000, ,-111570,2321784,174831,-2385040
3/13/2000, ,-111570,1014045,129192,-1031670
3/14/2000, ,-111570,961270,-6720.11,-842980
3/15/2000, ,-111570,1099279,1537.02,-989246
3/16/2000, ,-111570,1921752,25427.6,-1835610
3/17/2000, ,-111570,1758830,131454,-1778710
3/18/2000, ,-111570,1124574,50861.1,-1063860
3/19/2000, ,-111570,752758,-13550.6,-627637
3/20/2000, ,-111570,523265,-12221.2,-399474
3/21/2000, ,-111570,400884,-14206.7,-275107
3/22/2000, ,-111570,322591,-19356.4,-191664
3/23/2000, ,-111570,268582,-22653.3,-134358
3/24/2000, ,-111570,221403,-27769.9,-82062.5
3/25/2000, ,-111570,289414,-30965.3,-146878
3/26/2000, ,-111570,260536,-2603.39,-146362
3/27/2000, ,-111570,1615840,-19130.7,-1485140
3/28/2000, ,-111570,1682328,169024,-1739780
3/29/2000, ,-111570,872327,100146,-860903
3/30/2000, ,-111570,718663,10685.5,-617778
3/31/2000, ,-111570,635581,-14452.7,-509558
4/1/2000, ,-111570,566833,-17043.3,-438219
4/2/2000, ,-111570,490341,-21555.1,-357216
4/3/2000, ,-111570,1168990,-31538.4,-1025880
4/4/2000, ,-111570,1526286,84287.7,-1499000
4/5/2000, ,-111570,1023188,62765.6,-974383
4/6/2000, ,-111570,678030,-3294.3,-563165
4/7/2000, ,-111570,515911,-20840.3,-383500
4/8/2000, ,-111570,885106,-22062.8,-751473
4/9/2000, ,-111570,1069712,63609.2,-1021750
4/10/2000, ,-111570,737873,48759.3,-675062
4/11/2000, ,-111570,581256,-20231.5,-449454
4/12/2000, ,-111570,465582,-6800.26,-347211
4/13/2000, ,-111570,378930,-11173.4,-256186
4/14/2000, ,-111570,347155,-17493.2,-218092
4/15/2000, ,-111570,308928,-19907.3,-177450
4/16/2000, ,-111570,256327,-30980.2,-113776
4/17/2000, ,-111570,675179,-45382.4,-518226
4/18/2000, ,-111570,611700,121519,-621649
4/19/2000, ,-111570,540394,48157.6,-476981
4/20/2000, ,-111570,732685,4968.53,-626083
4/21/2000, ,-111570,1898296,787.06,-1787510
4/22/2000, ,-111570,2315055,166320,-2369800
4/23/2000, ,-111570,1712344,123230,-1724000
4/24/2000, ,-111570,1231626,20196.2,-1140250
4/25/2000, ,-111570,823732,-19197.8,-692964
4/26/2000, ,-111570,603182,-36893.2,-454719
4/27/2000, ,-111570,525898,-31747.8,-382580
4/28/2000, ,-111570,440133,-4691.03,-323872
4/29/2000, ,-111570,331565,-11437.5,-208557
4/30/2000, ,-111570,255486,-36682.1,-107234
5/1/2000, ,-111570,220203,-43318.2,-65314.8
5/2/2000, ,-111570,191586,-27649.9,-52365.8
5/3/2000, ,-111570,170664,-36102.9,-22990.7
5/4/2000, ,-111570,160084,-38758.3,-9755.75
5/5/2000, ,-111570,176759,-43258.6,-21930.6
5/6/2000, ,-111570,158693,-22269.9,-24853.2
5/7/2000, ,-111570,156912,-44981.1,-360.452
5/8/2000, ,-96040,144427,-48386.6,0
5/9/2000, ,-127100,209597,-56937.7,-25558.3
5/10/2000, ,-111570,500789,-4793.04,-384426
5/11/2000, ,-111570,583704,88026,-560160
5/12/2000, ,-111570,881867,34412.3,-804709
5/13/2000, ,-111570,1316416,77458.2,-1282300
5/14/2000, ,-111570,1066530,87480.3,-1042440
5/15/2000, ,-111570,796905,-11496.7,-673838
5/16/2000, ,-111570,652756,-41252.5,-499933
5/17/2000, ,-111570,562339,-38571,-412198
5/18/2000, ,-111570,875897,-41482.3,-722844
5/19/2000, ,-111570,1458088,53393.2,-1399910
5/20/2000, ,-111570,1384164,107382,-1379980
5/21/2000, ,-111570,945480,57910.1,-891820
5/22/2000, ,-111570,1000244,-2822.14,-885852
5/23/2000, ,-111570,2165029,34880.4,-2088340
5/24/2000, ,-111570,2357473,196286,-2442190
5/25/2000, ,-111570,1612938,110093,-1611460
5/26/2000, ,-111570,1030524,-22846.2,-896108
5/27/2000, ,-111570,661634,-47121.6,-502942
5/28/2000, ,-111570,460140,-46528.1,-302042
5/29/2000, ,-111570,348319,-47954.2,-188795
5/30/2000, ,-111570,276489,-47681,-117238
5/31/2000, ,-111570,220441,-46140.7,-62730.5
6/1/2000,761885, ,183787,-47423.1,-898249
6/2/2000,165641, ,256454,-62843,-359251
6/3/2000,354985, ,178680,-9665.57,-523999
6/4/2000,399830, ,182918,-51250.2,-531498
6/5/2000,150591, ,236920,-35758.8,-351752
6/6/2000, ,-726373,8413570,-7600.62,-7679600
6/7/2000,221311, ,2465483,861391,-3548190
6/8/2000,221311, ,1882212,-7816.58,-2095710
6/9/2000,221311, ,1321715,-52455.6,-1490570
6/10/2000,515017, ,846381,-65566.9,-1295830
6/11/2000, ,-72393.9,1948983,-68399.5,-1808190
6/12/2000,221311, ,1940505,163699,-2325520
6/13/2000,221311, ,1847881,30816.4,-2100010
6/14/2000,234724, ,985913,43287.7,-1263920
6/15/2000,697829, ,578929,-19015.9,-1257740
6/16/2000,900508, ,413533,-48799.7,-1265240
6/17/2000,992627, ,328116,-55501.8,-1265240
6/18/2000,774358, ,548142,-57258.3,-1265240
6/19/2000, ,-18909,361798,42731.8,-385620
6/20/2000,124405, ,282228,-51011,-355622
6/21/2000, ,-718809,778018,-59209.4,0
6/22/2000,19634.7, ,462313,105676,-587624
6/23/2000, ,-302462,353175,-47083.6,-3628.8
6/24/2000, ,-239790,299897,-60106.7,0
6/25/2000,191622, ,826694,-63136.5,-955179
6/26/2000,221311, ,604555,79657.1,-905524
6/27/2000,221311, ,504257,-21511.8,-704057
6/28/2000,221311, ,429383,-37687,-613007
6/29/2000,221311, ,516367,-44193.2,-693485
6/30/2000,314628, ,343565,8054.1,-666248
7/1/2000,139674, ,276267,-56690,-359251
7/2/2000,209632, ,231041,-59460.9,-381212
7/3/2000,221311, ,388680,-64707.5,-545284
7/4/2000,221311, ,250956,13095,-485363
7/5/2000,480480, ,206764,-65993.4,-621251
7/6/2000, ,-21712.5,180377,-57541.7,-101123
7/7/2000,589069, ,159503,-52326.2,-696246
7/8/2000, ,-92434.3,145680,-53246.2,0
7/9/2000,151156, ,141495,-52926.5,-239724
7/10/2000,334250, ,130018,-52520,-411748
7/11/2000,214828, ,122262,-63962.4,-273128
7/12/2000,114856, ,116844,-57538.4,-174162
7/13/2000,221311, ,112621,-58362.3,-275570
7/14/2000,221311, ,199791,-63075.8,-358027
7/15/2000,221311, ,6833330,-19505.6,-7035140
7/16/2000,221311, ,3460573,745472,-4427360
7/17/2000,221311, ,1925704,31404,-2178420
7/18/2000,221311, ,1379992,-59777.4,-1541530
7/19/2000,221311, ,936475,-59673.6,-1098110
7/20/2000,221311, ,657486,-50370.8,-828427
7/21/2000,221311, ,630882,-53372.3,-798821
7/22/2000,419585, ,478581,-18544.4,-879621
7/23/2000,1034427, ,282527,-51713.1,-1265240
7/24/2000,434350, ,196227,-54082.3,-576495
7/25/2000,295686, ,160041,-58978.4,-396749
7/26/2000,542226, ,434129,-59236.4,-917119
7/27/2000, ,-793977,876810,115541,-198374
7/28/2000, ,-383117,521032,110144,-248059
7/29/2000,221311, ,894314,-19469.4,-1096160
7/30/2000,221311, ,1618032,41182.6,-1880530
7/31/2000,221311, ,1029004,131294,-1381610
8/1/2000,221311, ,823081,-34375.1,-1010020
8/2/2000,221311, ,599745,-46133,-774924
8/3/2000,277976, ,520692,-64924.2,-733743
8/4/2000,491603, ,342048,-36283.1,-797368
8/5/2000,544007, ,252701,-55465.5,-741243
8/6/2000,103136, ,735469,-52606.9,-785998
8/7/2000,542011, ,414647,132466,-1089120
8/8/2000,366875, ,288464,-52716.1,-602623
8/9/2000,548363, ,362680,-65049.2,-845994
8/10/2000,544584, ,269115,-8830.85,-804868
8/11/2000, ,-364504,1240332,-52332.5,-823496
8/12/2000, ,-661414,1367852,98429.9,-804868
8/13/2000,41790, ,823820,92274.2,-957884
8/14/2000,221311, ,1088731,-51519.7,-1258520
8/15/2000,443158, ,659284,28050.2,-1130490
8/16/2000, ,-535.009,872511,-56954.1,-815022
8/17/2000,242271, ,585410,10813.3,-838495
8/18/2000,454840, ,430266,-46611.3,-838495
8/19/2000,585641, ,296325,-47342.2,-834624
8/20/2000,667031, ,221784,-46691.7,-842124
8/21/2000,704364, ,183389,-41759,-845994
8/22/2000,610394, ,156003,-44024.1,-722373
8/23/2000, ,-33299.5,699533,-48611.7,-617622
8/24/2000,308103, ,336489,156405,-800997
8/25/2000,644340, ,297026,-50616.3,-890749
8/26/2000,581218, ,250224,-45443.5,-785998
8/27/2000,617338, ,219669,-54637.1,-782369
8/28/2000,184288, ,237343,-54880.7,-366751
8/29/2000, ,-156952,194371,-37419,0
8/30/2000,448387, ,191530,-52293.4,-587624
8/31/2000,299635, ,151033,-38920,-411748
9/1/2000,544937, ,634541,-56485.5,-1122990
9/2/2000, ,-440.76,696102,150333,-845994
9/3/2000, ,-258294,379996,46674.3,-168376
9/4/2000, ,-462645,518533,-55888,0
9/5/2000, ,-367939,368197,-258.51,0
9/6/2000, ,-290476,324905,-34429.4,0
9/7/2000, ,-245588,281916,-36327.8,0
9/8/2000,69683.3, ,242885,-39440.7,-273128
9/9/2000,164640, ,430296,-46635.1,-548301
9/10/2000,221311, ,268638,35073.1,-525023
9/11/2000,238021, ,205527,-46798.7,-396749
9/12/2000,204602, ,3870770,-48623.2,-4026750
9/13/2000,221311, ,2010339,518735,-2750390
9/14/2000,221311, ,1873109,20782.8,-2115200
9/15/2000,221311, ,1630901,33239.8,-1885450
9/16/2000,221311, ,1066124,23723.2,-1311160
9/17/2000,221311, ,734094,-32957.6,-922448
9/18/2000,221311, ,533730,-34986.4,-720055
9/19/2000,221311, ,751511,-40583.2,-932239
9/20/2000,380966, ,440316,43340.3,-864622
9/21/2000,475083, ,294756,-47465.9,-722373
9/22/2000,121358, ,222794,-37155.7,-306996
9/23/2000,128318, ,196918,-33238.3,-291997
9/24/2000,119201, ,165210,-29911,-254500
9/25/2000,236692, ,184600,-35670.9,-385620
9/26/2000,87563.3, ,336919,-4095.18,-420387
9/27/2000,221311, ,191882,66885,-480079
9/28/2000,233120, ,179699,-31069.4,-381750
9/29/2000,209503, ,169601,-26295.4,-352808
9/30/2000,242582, ,160943,-25403.6,-378121
10/1/2000,318367, ,151676,-28297.8,-441746
10/2/2000,230035, ,142865,-32275.9,-340623
10/3/2000,377106, ,133286,-35019.1,-475373
10/4/2000,649634, ,165774,-36909.2,-778499
10/5/2000, ,-531856,989106,-4375.97,-452874
10/6/2000, ,-307889,896169,216588,-804868
10/7/2000, ,-105551,577580,51969.4,-523999
10/8/2000,34697.3, ,567876,-22449.5,-580124
10/9/2000,181653, ,527156,-20062.4,-688746
10/10/2000, ,-212578,484905,-17827.5,-254500
10/11/2000,339177, ,444400,-16206.4,-767370
10/12/2000,388142, ,371691,-14961.4,-744872
10/13/2000,229432, ,272480,-26538.4,-475373
10/14/2000,643953, ,204958,-29285.7,-819625
10/15/2000,452697, ,164891,-33593.2,-583995
10/16/2000,327399, ,244991,-33391.5,-538998
10/17/2000,286616, ,424344,22783,-733743
10/18/2000, ,-953852,1596226,79998.7,-722373
10/19/2000, ,-164394,678423,234471,-748500
10/20/2000,27297.9, ,659680,-24359,-662619
10/21/2000, ,-48851.2,594017,-24795.9,-520370
10/22/2000,145197, ,516921,-29497.1,-632621
10/23/2000,171182, ,448431,-20618.6,-598994
10/24/2000,341685, ,371526,-20836.2,-692375
10/25/2000,384511, ,295698,-25090.1,-655119
10/26/2000,542312, ,216290,-28729.2,-729873
10/27/2000,759430, ,171354,-28663.7,-902120
10/28/2000,582938, ,145065,-28128.1,-699875
10/29/2000,800291, ,129216,-19887.7,-909619
10/30/2000,652386, ,118534,-14920.3,-756000
10/31/2000,679687, ,110686,-15503.2,-774870
11/1/2000,1208398, ,104683,-17249.3,-1295830
11/2/2000,1160362, ,99916.5,-17535.4,-1242740
11/3/2000,1034924, ,95896.8,-19198.4,-1111620
11/4/2000,1197996, ,92399,-21524.1,-1268870
11/5/2000,1194160, ,89363.5,-22152.8,-1261370
11/6/2000,1216926, ,86683.4,-16111,-1287500
11/7/2000,1050992, ,84204.3,-16074,-1119120
11/8/2000,1058757, ,81871.2,-17635.7,-1122990
11/9/2000,931027, ,223889,-20795.2,-1134120
11/10/2000,157277, ,864507,101209,-1122990
11/11/2000,557141, ,378111,183870,-1119120
11/12/2000,741104, ,383157,-1268.41,-1122990
11/13/2000,704694, ,438943,-17015.9,-1126620
11/14/2000, ,-312601,1384906,-16807.6,-1055500
11/15/2000,70372.2, ,925644,134476,-1130490
11/16/2000,339125, ,808340,-13343.6,-1134120
11/17/2000,512285, ,631955,-13748.1,-1130490
11/18/2000,836658, ,445960,-13747.4,-1268870
11/19/2000,681913, ,334067,-12737.3,-1003240
11/20/2000,969640, ,266206,-11972.7,-1223870
11/21/2000,725233, ,221386,-10872.4,-935747
11/22/2000,1016336, ,177952,-4041.87,-1190250
11/23/2000,162321, ,151927,-3622.42,-310625
11/24/2000, ,-132471,135493,-3021.54,0
